Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
default	3.495270	0.060972	0.000095	0.999940
l1size_1632	3.503012	0.060972	0.000113	0.999866
l1size_64128	3.495270	0.060972	0.000087	0.999976
l2size_512	3.498384	0.060972	0.000095	0.999940
l2size_1024	3.505150	0.060972	0.000095	0.999940
l2size_4096	3.498633	0.060972	0.000095	0.999940
l1assoc1	3.510727	0.061561	0.000125	0.986343
l1assoc4	3.495270	0.060972	0.000089	0.999968
l1assoc8	3.495270	0.060972	0.000085	0.999983
l2assoc2	3.510727	0.061561	0.000125	0.986343
l2assoc4	3.510340	0.061561	0.000125	0.986343
l2assoc16	3.495270	0.060972	0.000095	0.999940
line16	9.804702	0.243966	0.000089	0.999220
line32	5.610684	0.122179	0.000107	0.996989
line128	2.601588	0.031779	0.000163	0.944228
l1assoc1_l2assoc2	3.510727	0.061561	0.000125	0.986343
l1assoc1_l2assoc4	3.510340	0.061561	0.000125	0.986343
l1assoc1_l2assoc16	3.510641	0.061561	0.000125	0.986343
l1assoc1_line16	9.804702	0.243966	0.000089	0.999220
l1assoc1_line32	5.610684	0.122179	0.000107	0.996989
l1assoc1_line128	2.601588	0.031779	0.000163	0.944228
