Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
default	1.251067	0.002062	0.019032	0.067668
l1size_1632	1.331166	0.002445	0.034984	0.038449
l1size_64128	1.146373	0.001926	0.000019	0.778679
l2size_512	1.261263	0.002062	0.019034	0.078407
l2size_1024	1.255620	0.002063	0.019033	0.072911
l2size_4096	1.250532	0.002062	0.019032	0.067159
l1assoc1	1.341859	0.002772	0.037915	0.035310
l1assoc4	1.146373	0.001967	0.000020	0.762045
l1assoc8	1.146373	0.001944	0.000019	0.770496
l2assoc2	1.341859	0.002772	0.037915	0.035310
l2assoc4	1.341817	0.002772	0.037915	0.035281
l2assoc16	1.251085	0.002062	0.019032	0.067724
line16	1.692583	0.005176	0.046589	0.077517
line32	1.434275	0.003823	0.044404	0.054694
line128	1.322353	0.002393	0.040007	0.017849
l1assoc1_l2assoc2	1.341859	0.002772	0.037915	0.035310
l1assoc1_l2assoc4	1.341817	0.002772	0.037915	0.035281
l1assoc1_l2assoc16	1.341895	0.002772	0.037915	0.035287
l1assoc1_line16	1.692583	0.005176	0.046589	0.077517
l1assoc1_line32	1.434275	0.003823	0.044404	0.054694
l1assoc1_line128	1.322353	0.002393	0.040007	0.017849
