Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
default	1.673085	0.014312	0.000075	0.295247
l1size_1632	1.707200	0.018015	0.000080	0.230442
l1size_64128	1.644713	0.011316	0.000068	0.382557
l2size_512	1.755657	0.014302	0.000075	0.406041
l2size_1024	1.703159	0.014309	0.000075	0.332527
l2size_4096	1.646081	0.014311	0.000075	0.264317
l1assoc1	1.697535	0.016246	0.000086	0.265207
l1assoc4	1.664527	0.013407	0.000066	0.317121
l1assoc8	1.658526	0.012799	0.000066	0.333701
l2assoc2	1.697535	0.016246	0.000086	0.265207
l2assoc4	1.690782	0.016249	0.000086	0.258178
l2assoc16	1.673782	0.014314	0.000075	0.295356
line16	2.113140	0.024948	0.000099	0.565008
line32	1.862370	0.019418	0.000092	0.401236
line128	1.679480	0.016008	0.000080	0.156411
l1assoc1_l2assoc2	1.697535	0.016246	0.000086	0.265207
l1assoc1_l2assoc4	1.690782	0.016249	0.000086	0.258178
l1assoc1_l2assoc16	1.692417	0.016256	0.000086	0.258196
l1assoc1_line16	2.113140	0.024948	0.000099	0.565008
l1assoc1_line32	1.862370	0.019418	0.000092	0.401236
l1assoc1_line128	1.679480	0.016008	0.000080	0.156411
