Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
default	1.404100	0.006198	0.000170	0.031973
l1size_1632	1.414997	0.008463	0.000369	0.023220
l1size_64128	1.383996	0.001770	0.000119	0.102922
l2size_512	1.404100	0.006198	0.000170	0.031973
l2size_1024	1.404100	0.006198	0.000170	0.031973
l2size_4096	1.404100	0.006198	0.000170	0.031973
l1assoc1	1.448249	0.009827	0.000972	0.016529
l1assoc4	1.401355	0.005914	0.000092	0.034353
l1assoc8	1.401900	0.006127	0.000091	0.033395
l2assoc2	1.448249	0.009827	0.000972	0.016529
l2assoc4	1.448249	0.009827	0.000972	0.016529
l2assoc16	1.404100	0.006198	0.000170	0.031973
line16	1.517801	0.022971	0.000865	0.027922
line32	1.462952	0.013831	0.000940	0.023606
line128	1.455582	0.008945	0.001006	0.009399
l1assoc1_l2assoc2	1.448249	0.009827	0.000972	0.016529
l1assoc1_l2assoc4	1.448249	0.009827	0.000972	0.016529
l1assoc1_l2assoc16	1.448249	0.009827	0.000972	0.016529
l1assoc1_line16	1.517801	0.022971	0.000865	0.027922
l1assoc1_line32	1.462952	0.013831	0.000940	0.023606
l1assoc1_line128	1.455582	0.008945	0.001006	0.009399
