Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
default	10.276466	0.121831	0.000020	0.999978
l1size_1632	10.271068	0.121832	0.000022	0.999954
l1size_64128	10.276674	0.121831	0.000019	0.999986
l2size_512	10.277807	0.121831	0.000020	0.999978
l2size_1024	10.279562	0.121831	0.000020	0.999978
l2size_4096	10.270133	0.121831	0.000020	0.999978
l1assoc1	10.274614	0.121858	0.000021	0.999536
l1assoc4	10.276418	0.121831	0.000019	0.999983
l1assoc8	10.276258	0.121831	0.000019	0.999985
l2assoc2	10.274614	0.121858	0.000021	0.999536
l2assoc4	10.277417	0.121858	0.000021	0.999536
l2assoc16	10.277003	0.121831	0.000020	0.999978
line16	33.485377	0.487315	0.000029	0.999947
line32	17.647723	0.243674	0.000023	0.999846
line128	6.806774	0.060966	0.000016	0.998423
l1assoc1_l2assoc2	10.274614	0.121858	0.000021	0.999536
l1assoc1_l2assoc4	10.277417	0.121858	0.000021	0.999536
l1assoc1_l2assoc16	10.277195	0.121858	0.000021	0.999536
l1assoc1_line16	33.485377	0.487315	0.000029	0.999947
l1assoc1_line32	17.647723	0.243674	0.000023	0.999846
l1assoc1_line128	6.806774	0.060966	0.000016	0.998423
